OBJECTID,CAM17U_COD,CAM17U_DEN,WIKIDATA,CAM17U_NOM,POP_2011,Shape_Leng,Shape_Area,MS_FB,MS_FB_PARE
45,CU033_04,Lombardia 3 - 04,Q48079557,Palazzolo sull'Oglio,252999.0,141942.321496,446115904.091,country:it/region:lom/cam_uni:cu033-04,country:it/region:lom
46,CU033_05,Lombardia 3 - 05,Q48079564,Bergamo,298340.0,98135.2618347,161994780.507,country:it/region:lom/cam_uni:cu033-05,country:it/region:lom
47,CU033_06,Lombardia 3 - 06,Q48079572,Albino,307608.0,267570.433659,1753937740.27,country:it/region:lom/cam_uni:cu033-06,country:it/region:lom
48,CU033_07,Lombardia 3 - 07,Q48079585,Treviglio,237629.0,151413.206785,293361482.386,country:it/region:lom/cam_uni:cu033-07,country:it/region:lom
49,CU033_08,Lombardia 3 - 08,Q48079591,Romano di Lombardia,268532.0,287396.729866,808292052.457,country:it/region:lom/cam_uni:cu033-08,country:it/region:lom
50,CU034_01,Lombardia 4 - 01,Q48079602,Vigevano,253454.0,349257.867442,1465288177.9,country:it/region:lom/cam_uni:cu034-01,country:it/region:lom
51,CU034_02,Lombardia 4 - 02,Q48079613,Pavia,282368.0,377346.794744,1503296506.39,country:it/region:lom/cam_uni:cu034-02,country:it/region:lom
52,CU034_03,Lombardia 4 - 03,Q48079622,Lodi,296409.0,288773.372754,890022379.127,country:it/region:lom/cam_uni:cu034-03,country:it/region:lom
53,CU034_04,Lombardia 4 - 04,Q48079633,Cremona,275478.0,257865.226694,970448489.685,country:it/region:lom/cam_uni:cu034-04,country:it/region:lom
54,CU034_05,Lombardia 4 - 05,Q48079638,Suzzara,262333.0,360122.380654,1925903789.55,country:it/region:lom/cam_uni:cu034-05,country:it/region:lom
55,CU034_06,Lombardia 4 - 06,Q48079645,Mantova,264536.0,326604.031741,1409170150.77,country:it/region:lom/cam_uni:cu034-06,country:it/region:lom
56,CU041_01,Trentino-Alto Adige/Südtirol - 01,Q48079654,Bolzano,172319.0,179353.403798,492656745.575,country:it/region:tre/cam_uni:cu041-01,country:it/region:tre
